Season,Team,Player,Avg Points,GP,G,A,Blk
2023-2024,Scotty,J.T. Compher,2.96,45,8,16,38
2019-2020,Potomac Poutine,Alex DeBrincat,2.95,62,17,22,19
2021-2022,Rotterdam Red Foxes,Dylan Larkin,2.95,21,4,9,11
2025-2026,Scotty,Alexis Lafreniere,2.95,19,6,5,8
2022-2023,Rotterdam Red Foxes,Rickard Rakell,2.94,17,6,4,6
2025-2026,Rotterdam Red Foxes,Jonathan Huberdeau,2.94,17,4,6,10
2019-2020,Synth City ,Brady Tkachuk,2.93,60,17,16,36
2019-2020,Pennant Pumpjacks,Phillip Danault,2.93,60,12,28,28
2019-2020,Alberta Cobra Chickens,Joel Armia,2.93,14,4,3,11
2021-2022,Les Rois de Lyon,Carter Verhaeghe,2.93,15,3,9,1
2019-2020,Alberta Cobra Chickens,Roope Hintz,2.92,13,3,4,8
2019-2020,Bowness Ice Beavers,Jake DeBrusk,2.92,12,3,6,0
2023-2024,Slick City Jackals,Jonathan Huberdeau,2.92,13,1,8,5
2023-2024,Woodland Whistle Pigs,Cam Atkinson,2.92,12,4,2,8
2024-2025,Maplewood HC,Ryan O'Reilly,2.92,13,3,3,12
2021-2022,Minnesota Frozen Pines,Carter Verhaeghe,2.91,11,2,6,3
2024-2025,Potomac Poutine,Pierre-Luc Dubois,2.91,11,1,5,11
2025-2026,Potomac Poutine,Shane Pinto,2.91,53,13,15,37
2025-2026,Southside Hellbats,Anze Kopitar,2.91,11,2,3,11
2022-2023,Scotty,Alexander Barabanov,2.9,10,1,6,3
2019-2020,Minnesota Frozen Pines,Jakub Voracek,2.9,39,7,19,14
2019-2020,Minnesota Frozen Pines,Patric Hornqvist,2.9,10,4,2,2
2021-2022,Alberta Cobra Chickens,Pierre-Luc Dubois,2.9,20,4,7,12
2021-2022,Maplewood HC,Tyler Seguin,2.9,10,2,4,6
2021-2022,Bowness Ice Beavers,Alexander Radulov,2.9,21,1,9,25
2023-2024,Les Rois de Lyon,Jaden Schwartz,2.9,10,3,2,4
2023-2024,Maplewood HC,Casey Mittelstadt,2.9,71,14,34,26
2024-2025,Maplewood HC,Owen Tippett,2.9,50,11,15,41
2019-2020,Synth City ,Ilya Kovalchuk,2.89,18,5,6,7
2019-2020,Cachco Eagles,Paul Stastny,2.89,9,1,5,5
2021-2022,Cachco Eagles,Yanni Gourde,2.89,37,10,12,16
2021-2022,Les Rois de Lyon,Jeff Carter,2.89,19,5,6,11
2022-2023,Minnesota Frozen Pines,Jonathan Marchessault,2.89,47,12,19,7
2022-2023,Woodland Whistle Pigs,Sam Bennett,2.89,53,11,20,31
2023-2024,Alberta Cobra Chckens,Dawson Mercer,2.89,45,13,10,31
2025-2026,Bowness Ice Beavers,Lucas Raymond,2.89,18,5,7,3
2022-2023,Cantuar Slough Sharks,Jonathan Huberdeau,2.88,52,9,25,21
2023-2024,Slick City Jackals,Timo Meier,2.88,34,8,10,21
2023-2024,Pennant Pumpjacks,Joel Farabee,2.87,53,12,20,26
2024-2025,Pennant Pumpjacks,Conor Garland,2.86,44,10,14,26
2021-2022,Scotty,Jordan Eberle,2.86,66,16,20,38
2023-2024,Mt Pearl Vikings,Philipp Kurashev,2.86,21,5,6,13
2023-2024,Woodland Whistle Pigs,Quinton Byfield,2.86,57,14,25,11
2025-2026,Pennant Pumpjacks,Kyle Palmieri,2.86,22,5,9,6
2021-2022,Scotty,Andrew Copp,2.85,40,9,13,24
2021-2022,Bowness Ice Beavers,Cam Atkinson,2.85,20,7,4,8
2024-2025,Mt Pearl Vikings,Chandler Stephenson,2.85,20,3,8,15
2024-2025,Mt Pearl Vikings,Alex Laferriere,2.85,13,3,6,2
2024-2025,Rotterdam Red Foxes,Cole Perfetti,2.85,26,5,9,16
2020-2021,Steel Valley Fishers,Joel Farabee,2.84,25,7,7,11
2024-2025,Potomac Poutine,Egor Chinakhov,2.84,19,6,4,9
2025-2026,Driftless Hockey Club,Timo Meier,2.84,58,16,13,36
2019-2020,Synth City ,Eric Staal,2.83,41,10,14,15
2025-2026,Cantuar Slough Sharks,Jordan Kyrou,2.83,46,12,16,14
2025-2026,Pennant Pumpjacks,Noah Cates,2.83,58,13,18,39
2024-2025,Slick City Jackals,Matty Beniers,2.82,22,4,8,18
2019-2020,Cachco Eagles,Cam Atkinson,2.82,39,10,12,18
2020-2021,Taku River Glaciers,Matthew Tkachuk,2.82,51,10,24,9
2021-2022,Minnesota Frozen Pines,Nino Niederreiter,2.82,11,5,1,1
2023-2024,Alberta Cobra Chckens,Andrew Mangiapane,2.82,11,4,3,1
2024-2025,Pennant Pumpjacks,Phillip Danault,2.82,11,2,4,8
2025-2026,Alberta Cobra Chickens,Jean-Gabriel Pageau,2.82,28,5,7,29
2023-2024,Les Rois de Lyon,Andrei Kuzmenko,2.81,16,2,9,3
2024-2025,Potomac Poutine,Logan Stankoven,2.81,26,4,13,11
2020-2021,Les Rois de Lyon,James van Riemsdyk,2.8,15,3,7,3
2021-2022,Minnesota Frozen Pines,Joel Farabee,2.8,10,3,3,3
2023-2024,Synth City Sphynx,Kirill Marchenko,2.8,10,1,5,5
2024-2025,Pennant Pumpjacks,Adam Lowry,2.8,10,2,3,9
2019-2020,Alberta Cobra Chickens,Clayton Keller,2.79,56,15,20,9
2019-2020,Pennant Pumpjacks,Tyler Johnson,2.79,34,9,13,6
2023-2024,Maplewood HC,JJ Peterka,2.79,57,19,16,10
2024-2025,Steel Valley Fishers,Sam Bennett,2.79,39,9,12,24
2025-2026,Maplewood HC,Brock Boeser,2.79,24,7,6,10
2025-2026,Pennant Pumpjacks,Jake Neighbours,2.79,33,9,8,21
2020-2021,Taku River Glaciers,Taylor Hall,2.78,23,6,9,6
2020-2021,Taku River Glaciers,Timo Meier,2.78,41,7,17,19
2020-2021,Rotterdam Red Foxes,Vladimir Tarasenko,2.78,23,3,10,14
2024-2025,Alberta Cobra Chickens,Dawson Mercer,2.77,26,5,8,20
2019-2020,Bowness Ice Beavers,Mitch Marner,2.77,13,2,6,7
2021-2022,Pennant Pumpjacks,Travis Konecny,2.76,37,7,15,15
2021-2022,Slick City Jackals,Ryan Getzlaf,2.76,17,1,7,18
2022-2023,Maplewood HC,Ryan O'Reilly,2.76,21,7,4,8
2022-2023,Pennant Pumpjacks,Ondrej Palat,2.76,46,8,14,42
2024-2025,Rockaway Brattwursts,Cutter Gauthier,2.76,17,3,7,9
2020-2021,Seminole Road Snakeheads,Kevin Hayes,2.75,44,11,15,13
2020-2021,Slick City Jackals,Evgeny Kuznetsov,2.75,12,2,5,3
2023-2024,Pennant Pumpjacks,Patrik Laine,2.75,16,5,2,11
2019-2020,Last Mountain Walleye,Andreas Johnsson,2.74,38,8,13,20
2020-2021,Taku River Glaciers,Dylan Strome,2.74,19,4,4,14
2022-2023,Maplewood HC,Victor Olofsson,2.74,42,18,4,8
2019-2020,Slick City Jackals,Viktor Arvidsson,2.73,44,13,10,20
2020-2021,Les Rois de Lyon,Boone Jenner,2.73,37,6,8,44
2022-2023,Potomac Poutine,Lucas Raymond,2.73,59,12,23,17
2023-2024,Maplewood HC,Max Pacioretty,2.73,11,2,4,5
2025-2026,Scotty,Luke Evangelista,2.73,30,4,15,13
2024-2025,Maplewood HC,Connor McMichael,2.72,36,7,15,16
2021-2022,Slick City Jackals,Tyler Seguin,2.72,36,12,6,13
2024-2025,Mt Pearl Vikings,Zach Hyman,2.72,18,7,3,4
2024-2025,Rotterdam Red Foxes,William Karlsson,2.72,32,6,10,25
2025-2026,Les  Rois de Lyon,Chandler Stephenson,2.72,18,2,8,11
2025-2026,Synth City Sphynx,Matvei Michkov,2.72,60,15,23,11
2024-2025,Maplewood HC,Carter Verhaeghe,2.71,69,14,26,23
2025-2026,Scotty,Andre Burakovsky,2.71,31,5,13,15
2019-2020,Taku River Glaciers,Conor Garland,2.7,27,7,8,9
2019-2020,Slick City Jackals,Nikita Gusev,2.7,23,5,10,1
2023-2024,Bowness Ice Beavers,Jesperi Kotkaniemi,2.7,10,3,3,3
2021-2022,Maplewood HC,Tyler Toffoli,2.69,16,3,7,4
2021-2022,Rotterdam Red Foxes,Rickard Rakell,2.69,13,3,3,11
2022-2023,Minnesota Frozen Pines,James van Riemsdyk,2.69,29,7,10,11
2024-2025,Slick City Jackals,Alexis Lafreniere,2.69,55,14,18,20
2024-2025,Slick City Jackals,Leo Carlsson,2.69,13,3,4,7
2021-2022,Rotterdam Red Foxes,Lucas Raymond,2.68,41,8,17,13
2020-2021,Alberta Cobra Chickens,Pierre-Luc Dubois,2.67,42,9,12,25
2019-2020,Mt Pearl Vikings,Nick Schmaltz,2.67,43,4,22,21
2020-2021,Maplewood HC,Clayton Keller,2.67,54,13,19,13
2020-2021,Alberta Cobra Chickens,Maxime Comtois,2.67,30,6,10,19
2021-2022,Cachco Eagles,Alex Iafallo,2.67,12,4,1,5
2022-2023,Mt Pearl Vikings,Jonathan Toews,2.67,15,4,3,7
2022-2023,Woodland Whistle Pigs,Kirby Dach,2.67,12,2,5,5
2023-2024,Les Rois de Lyon,Jack Quinn,2.67,12,1,7,4
2023-2024,Pennant Pumpjacks,Eeli Tolvanen,2.67,15,4,3,10
2024-2025,Rockaway Brattwursts,Joel Eriksson Ek,2.67,24,7,5,11
2021-2022,Bowness Ice Beavers,Brandon Saad,2.66,32,12,4,5
2020-2021,Synth City,Jesse Puljujarvi,2.65,26,9,4,10
2020-2021,Les Rois de Lyon,Jack Hughes,2.65,23,4,11,5
2020-2021,Rotterdam Red Foxes,Kyle Palmieri,2.65,17,3,6,7
2021-2022,Bowness Ice Beavers,Alexis Lafreniere,2.65,23,5,9,7
2024-2025,Alberta Cobra Chickens,Jake Neighbours,2.65,37,8,9,27
2024-2025,Bowness Ice Beavers,Kyle Palmieri,2.65,17,4,5,5
2020-2021,Seminole Road Snakeheads,Tomas Tatar,2.64,44,8,16,20
2019-2020,Seminole Road Snakeheads,Joonas Donskoi,2.64,55,13,14,31
2019-2020,Pennant Pumpjacks,Christian Dvorak,2.64,47,9,17,22
2019-2020,Rotterdam Red Foxes,Martin Necas,2.64,42,11,13,11
2020-2021,Seminole Road Snakeheads,Josh Bailey,2.64,22,2,11,9
2020-2021,Scotty,Jordan Eberle,2.64,22,7,5,7
2024-2025,Maplewood HC,Nick Schmaltz,2.64,11,2,3,6
2025-2026,Driftless Hockey Club,Lawson Crouse,2.64,11,3,3,3
2025-2026,Pennant Pumpjacks,Jaden Schwartz,2.64,22,5,3,22
2025-2026,Scotty,Jonathan Marchessault,2.64,11,4,2,1
2022-2023,Scotty,Gabriel Vilardi,2.63,27,8,5,12
2022-2023,Steel Valley Fishers,T.J. Oshie,2.63,19,5,4,9
2025-2026,Alberta Cobra Chickens,Blake Coleman,2.63,27,7,5,17
2019-2020,Pennant Pumpjacks,Jonathan Drouin,2.62,26,7,8,5
2020-2021,Slick City Jackals,Anthony Cirelli,2.62,47,9,13,31
2025-2026,Les  Rois de Lyon,Emil Heineman,2.62,13,3,2,13
2025-2026,Southside Hellbats,Mikael Granlund,2.62,13,4,2,8
2020-2021,Slick City Jackals,Patrik Laine,2.61,44,12,11,15
2023-2024,Rotterdam Red Foxes,Alexis Lafreniere,2.61,36,8,14,9
2022-2023,Woodland Whistle Pigs,Chandler Stephenson,2.6,10,0,6,7
2020-2021,Steel Valley Fishers,Mikael Granlund,2.6,10,1,4,7
2022-2023,Bowness Ice Beavers,T.J. Oshie,2.6,10,2,4,3
2023-2024,Bowness Ice Beavers,Ryan Hartman,2.6,20,5,4,13
2020-2021,Bowness Ice Beavers,Tim Stutzle,2.59,32,7,10,10
2022-2023,Pennant Pumpjacks,Yegor Sharangovich,2.59,27,7,5,16
2019-2020,Last Mountain Walleye,Ryan Johansen,2.58,60,11,21,27
2025-2026,Les  Rois de Lyon,Jackson Blake,2.58,12,3,4,4
2019-2020,Seminole Road Snakeheads,Ryan Dzingel,2.57,28,5,11,10
2019-2020,Last Mountain Walleye,Zack Kassian,2.57,14,4,5,1
2023-2024,Slick City Jackals,Dylan Cozens,2.56,27,6,9,8
2025-2026,Alberta Cobra Chickens,Tyler Toffoli,2.56,18,5,3,10
2025-2026,Pennant Pumpjacks,Mason McTavish,2.56,66,14,20,31
2025-2026,Synth City Sphynx,Zach Benson,2.56,27,2,14,11
2019-2020,Pennant Pumpjacks,Jared McCann,2.55,42,10,12,18
2021-2022,Seminole Road Snakeheads,William Karlsson,2.55,33,6,10,21
2023-2024,Steel Valley Fishers,Jonathan Drouin,2.55,11,0,7,4
2024-2025,Cantuar Slough Sharks,Casey Mittelstadt,2.55,64,11,23,27
2025-2026,Driftless Hockey Club,Mikael Backlund,2.55,11,2,3,4
2025-2026,Maplewood HC,Quinton Byfield,2.55,55,10,17,29
2019-2020,Mt Pearl Vikings,Phil Kessel,2.54,50,10,16,17
2019-2020,Synth City ,James van Riemsdyk,2.54,24,6,7,9
2024-2025,Scotty,Jordan Eberle,2.54,13,1,6,9
2019-2020,Scotty,Mats Zuccarello,2.53,30,7,8,16
2019-2020,Alberta Cobra Chickens,Zack Kassian,2.53,17,4,7,2
2020-2021,Cachco Eagles,Dylan Larkin,2.53,38,9,10,16
2022-2023,Les Rois de Lyon,Seth Jarvis,2.53,15,1,7,11
2023-2024,Rotterdam Red Foxes,Adam Fantilli,2.53,19,4,4,15
2024-2025,Scotty,Jonathan Marchessault,2.53,19,3,7,5
2020-2021,Mt Pearl Vikings,Christian Dvorak,2.52,23,4,4,21
2023-2024,Pennant Pumpjacks,Tomas Hertl,2.5,10,1,4,7
2020-2021,Mt Pearl Vikings,Jack Hughes,2.5,24,6,7,7
2020-2021,Pennant Pumpjacks,Brandon Saad,2.5,20,5,6,6
2020-2021,Taku River Glaciers,Jonathan Drouin,2.5,12,2,6,1
2020-2021,Scotty,Michael Bunting,2.5,12,5,1,1
2022-2023,Mt Pearl Vikings,Jakub Vrana,2.5,12,4,3,1
2022-2023,Woodland Whistle Pigs,Teuvo Teravainen,2.5,12,1,7,3
2023-2024,Rotterdam Red Foxes,Adam Henrique,2.5,12,2,3,9
2023-2024,Slick City Jackals,Cole Perfetti,2.5,44,11,10,17
2023-2024,Synth City Sphynx,Sam Bennett,2.5,12,3,3,6
2024-2025,Pennant Pumpjacks,Taylor Hall,2.5,10,2,3,5
2024-2025,Scotty,Kaapo Kakko,2.5,30,6,9,15
2025-2026,Les  Rois de Lyon,Christian Dvorak,2.5,14,3,5,4
2025-2026,Pennant Pumpjacks,Tyler Toffoli,2.5,20,3,8,7
2020-2021,Pennant Pumpjacks,Victor Olofsson,2.49,53,12,16,12
2020-2021,Alberta Cobra Chickens,Josh Anderson,2.48,48,14,7,24
2024-2025,Potomac Poutine,Trevor Zegras,2.48,48,8,17,24
2020-2021,Minnesota Frozen Pines,Denis Gurianov,2.47,19,2,9,6
2019-2020,Steel Valley Fishers,Kevin Labanc,2.46,13,4,3,2
2019-2020,Rotterdam Red Foxes,Erik Haula,2.46,13,3,5,1
2020-2021,Mt Pearl Vikings,Jamie Benn,2.46,26,4,9,15
2021-2022,Bowness Ice Beavers,Carter Verhaeghe,2.46,24,6,8,5
2025-2026,Les  Rois de Lyon,Jordan Eberle,2.46,13,3,3,6
2020-2021,Scotty,Mike Hoffman,2.45,33,8,10,8
2022-2023,Steel Valley Fishers,Anthony Beauvillier,2.45,11,3,3,3
2020-2021,Bowness Ice Beavers,Drake Batherson,2.44,25,5,6,12
2020-2021,Synth City,Nazem Kadri,2.44,45,8,16,14
2024-2025,Bowness Ice Beavers,Brock Nelson,2.44,25,6,6,11
2024-2025,Driftless Hockey Club,Tyler Toffoli,2.44,18,5,3,7
2024-2025,Rockaway Brattwursts,Vladislav Namestnikov,2.44,16,3,4,10
2019-2020,Les Rois De Lyon,Calle Jarnkrok,2.42,24,4,8,11
2019-2020,Pennant Pumpjacks,Dylan Strome,2.42,12,2,4,6
2020-2021,Synth City,Jordan Kyrou,2.42,12,2,6,1
2021-2022,Scotty,Mike Hoffman,2.42,40,10,8,16
2024-2025,Scotty,Anthony Duclair,2.42,12,3,3,4
2025-2026,Pennant Pumpjacks,Ryan McLeod,2.41,17,1,8,8
2019-2020,Pennant Pumpjacks,Brett Connolly,2.4,40,11,8,12
2022-2023,Mt Pearl Vikings,David Krejci,2.4,20,3,8,8
2025-2026,Pennant Pumpjacks,Andrei Kuzmenko,2.4,10,3,1,4
2025-2026,Scotty,Zach Hyman,2.4,10,2,4,1
2024-2025,Alberta Cobra Chickens,Mathieu Olivier,2.39,18,3,3,19
2020-2021,Maplewood HC,Taylor Hall,2.39,28,2,14,9
2022-2023,Rotterdam Red Foxes,Mason Marchment,2.39,23,6,5,7
2022-2023,Cantuar Slough Sharks,Casey Mittelstadt,2.39,41,6,17,8
2023-2024,Bowness Ice Beavers,Oliver Bjorkstrand,2.39,33,5,11,15
2025-2026,Rotterdam Red Foxes,Claude Giroux,2.39,18,2,8,7
2019-2020,Potomac Poutine,Anthony Duclair,2.38,21,3,6,13
2020-2021,Potomac Poutine,Mikael Granlund,2.38,24,6,2,19
2020-2021,Seminole Road Snakeheads,Oliver Wahlstrom,2.38,16,5,2,4
2024-2025,Cantuar Slough Sharks,Pavel Zacha,2.38,24,2,12,9
2020-2021,Taku River Glaciers,Anthony Mantha,2.37,27,7,6,9
2023-2024,Driftless Hockey Club,Mason Marchment,2.37,19,3,5,12
2021-2022,Bowness Ice Beavers,Dawson Mercer,2.36,22,4,6,12
2024-2025,Pennant Pumpjacks,Nick Paul,2.36,11,2,2,10
2020-2021,Bowness Ice Beavers,Mika Zibanejad,2.35,23,3,6,16
2021-2022,Minnesota Frozen Pines,Ilya Mikheyev,2.35,20,6,3,6
2023-2024,Potomac Poutine,Matty Beniers,2.35,48,8,14,26
2020-2021,Slick City Jackals,Evgenii Dadonov,2.33,12,5,0,3
2022-2023,Les Rois de Lyon,Jordan Eberle,2.33,24,3,10,8
2022-2023,Mt Pearl Vikings,Alex Killorn,2.33,12,2,4,5
2023-2024,Alberta Cobra Chckens,Michael Rasmussen,2.33,12,3,1,10
2020-2021,Pennant Pumpjacks,Jean-Gabriel Pageau,2.32,19,3,3,20
2020-2021,Bowness Ice Beavers,Nick Ritchie,2.31,16,4,4,2
2020-2021,Steel Valley Fishers,Nick Schmaltz,2.31,13,2,4,7
2020-2021,Bowness Ice Beavers,Nino Niederreiter,2.31,13,2,5,5
2021-2022,Alberta Cobra Chickens,Alex Newhook,2.31,45,10,11,17
2022-2023,Potomac Poutine,Zach Parise,2.31,13,3,1,12
2019-2020,Alberta Cobra Chickens,Mikael Granlund,2.3,10,2,2,7
2019-2020,Les Rois De Lyon,Gustav Nyquist,2.3,10,2,3,4
2020-2021,Taku River Glaciers,Sean Monahan,2.3,10,3,2,1
2019-2020,Cachco Eagles,Nick Suzuki,2.29,14,3,3,4
2019-2020,Cachco Eagles,Nick Schmaltz,2.29,7,1,2,3
2021-2022,Alberta Cobra Chickens,Max Domi,2.29,14,5,2,1
2019-2020,Seminole Road Snakeheads,Alex Tuch,2.28,29,5,7,14
2025-2026,Pennant Pumpjacks,Logan Stankoven,2.27,45,10,12,13
2024-2025,Synth City Sphynx,Stefan Noesen,2.26,19,5,3,6
2019-2020,Last Mountain Walleye,Matt Duchene,2.25,16,2,5,9
2021-2022,Maplewood HC,Jamie Benn,2.25,12,2,2,10
2024-2025,Bowness Ice Beavers,Ivan Barbashev,2.25,12,1,6,3
2024-2025,Mt Pearl Vikings,Jeff Skinner,2.25,12,3,3,3
2022-2023,Slick City Jackals,Andrew Mangiapane,2.24,17,3,4,9
2023-2024,Potomac Poutine,Trevor Zegras,2.24,21,3,6,13
2023-2024,Rockaway Brattwursts,Matias Maccelli,2.24,21,3,8,6
2024-2025,Steel Valley Fishers,Patrick Kane,2.24,17,2,7,2
2022-2023,Minnesota Frozen Pines,Frank Vatrano,2.22,18,2,4,17
2023-2024,Bowness Ice Beavers,Nick Paul,2.22,18,5,0,13
2020-2021,Bowness Ice Beavers,Brendan Gallagher,2.21,19,5,3,7
2021-2022,Seminole Road Snakeheads,Dominik Kubalik,2.2,40,9,6,19
2023-2024,Synth City Sphynx,Jason Dickinson,2.2,10,2,2,5
2020-2021,Les Rois de Lyon,Jordan Greenway,2.19,26,3,10,11
2025-2026,Synth City Sphynx,Victor Olofsson,2.19,16,3,4,6
2025-2026,Steel Valley Fishercats,Carter Verhaeghe,2.18,11,2,3,3
2021-2022,Rotterdam Red Foxes,Martin Necas,2.17,46,7,16,15
2021-2022,Rotterdam Red Foxes,Kirby Dach,2.17,18,3,3,11
2023-2024,Bowness Ice Beavers,Robby Fabbri,2.17,12,2,4,3
2024-2025,Potomac Poutine,Zach Benson,2.15,41,6,12,19
2020-2021,Synth City,Viktor Arvidsson,2.15,13,1,5,6
2021-2022,Bowness Ice Beavers,Conor Garland,2.15,13,3,3,4
2022-2023,Slick City Jackals,Alexis Lafreniere,2.15,73,13,21,26
2023-2024,Potomac Poutine,Tyler Bertuzzi,2.14,28,4,8,14
2025-2026,Pennant Pumpjacks,Sean Couturier,2.14,14,0,8,5
2022-2023,Minnesota Frozen Pines,Jason Zucker,2.13,15,3,3,7
2019-2020,Taku River Glaciers,Max Domi,2.12,26,4,9,5
2020-2021,Maplewood HC,Janne Kuokkanen,2.12,24,2,10,9
2021-2022,Minnesota Frozen Pines,J.T. Compher,2.12,25,3,4,26
2019-2020,Last Mountain Walleye,Kasperi Kapanen,2.11,37,5,15,7
2021-2022,Maplewood HC,Dylan Cozens,2.11,54,9,16,13
2021-2022,Alberta Cobra Chickens,Vladislav Namestnikov,2.1,10,2,1,6
2021-2022,Synth City,Anthony Duclair,2.1,10,3,1,1
2022-2023,Mt Pearl Vikings,Kirill Marchenko,2.1,10,2,1,7
2022-2023,Synth City,Kaapo Kakko,2.1,10,2,1,8
2024-2025,Driftless Hockey Club,Frank Vatrano,2.1,10,1,3,6
2019-2020,Scotty,Marcus Johansson,2.09,11,2,3,4
2022-2023,Bowness Ice Beavers,Owen Tippett,2.09,11,1,4,5
2023-2024,Potomac Poutine,Pierre-Luc Dubois,2.09,23,4,6,9
2022-2023,Mt Pearl Vikings,Anton Lundell,2.08,12,1,4,7
2020-2021,Pennant Pumpjacks,Robert Thomas,2.08,12,1,5,5
2025-2026,Potomac Poutine,Ryan Leonard,2.07,30,7,5,8
2024-2025,Bowness Ice Beavers,Nino Niederreiter,2.06,16,4,2,6
2024-2025,Slick City Jackals,Dylan Cozens,2.06,16,1,6,8
2021-2022,Alberta Cobra Chickens,Chris Tierney,2.05,20,4,2,10
2025-2026,Scotty,Collin Graf,2.04,26,4,7,12
2019-2020,Les Rois De Lyon,Joel Armia,2,14,2,4,4
2019-2020,Scotty,Alexander Kerfoot,2,12,3,1,5
2020-2021,Pennant Pumpjacks,Phillip Danault,2,12,0,5,7
2021-2022,Pennant Pumpjacks,Victor Olofsson,2,23,3,8,5
2021-2022,Cachco Eagles,Anders Lee,2,11,4,0,2
2022-2023,Steel Valley Fishers,Bryan Rust,2,21,4,4,7
2023-2024,Driftless Hockey Club,Marco Rossi,2,34,5,10,11
2024-2025,Bowness Ice Beavers,Jamie Benn,2,16,3,2,11
2025-2026,Alberta Cobra Chickens,Anton Lundell,2,10,2,2,2
2019-2020,Last Mountain Walleye,Jeff Skinner,1.95,57,14,9,11
2021-2022,Alberta Cobra Chickens,Jeff Carter,1.95,21,2,6,12
2020-2021,Synth City,Denis Gurianov,1.94,16,4,3,2
2019-2020,Taku River Glaciers,Ondrej Palat,1.94,16,2,3,11
2021-2022,Seminole Road Snakeheads,Andreas Johnsson,1.94,47,6,15,16
2024-2025,Cantuar Slough Sharks,Blake Coleman,1.93,29,3,6,20
2024-2025,Cantuar Slough Sharks,Will Cuylle,1.93,14,2,3,8
2019-2020,Mt Pearl Vikings,Ilya Kovalchuk,1.92,12,2,2,6
2019-2020,Bowness Ice Beavers,Alexander Nylander,1.91,11,1,4,4
2023-2024,Bowness Ice Beavers,Evan Rodrigues,1.91,11,1,4,4
2024-2025,Rockaway Brattwursts,Mason Marchment,1.91,11,2,2,4
2025-2026,Cantuar Slough Sharks,Bobby Brink,1.91,11,3,0,5
2020-2021,Mt Pearl Vikings,Alexandre Texier,1.9,10,1,3,5
2022-2023,Slick City Jackals,Michael Bunting,1.88,16,3,4,2
2023-2024,Maplewood HC,Eeli Tolvanen,1.88,17,3,1,12
2020-2021,Synth City,Kevin Labanc,1.87,15,2,4,5
2022-2023,Synth City,Cole Perfetti,1.86,21,3,6,6
2025-2026,Driftless Hockey Club,Sean Monahan,1.86,14,1,6,1
2024-2025,Pennant Pumpjacks,Quinton Byfield,1.83,18,2,7,2
2019-2020,Pennant Pumpjacks,Nino Niederreiter,1.82,11,1,4,2
2020-2021,Minnesota Frozen Pines,Bobby Ryan,1.82,11,1,3,5
2023-2024,Cantuar Slough Sharks,Jake DeBrusk,1.8,10,1,2,7
2024-2025,Driftless Hockey Club,Andrei Kuzmenko,1.8,20,1,8,4
2025-2026,Potomac Poutine,Easton Cowan,1.8,25,2,7,12
2021-2022,Minnesota Frozen Pines,Radek Faksa,1.79,14,0,4,13
2025-2026,Scotty,Morgan Barron,1.79,14,2,2,7
2022-2023,Woodland Whistle Pigs,Conor Garland,1.78,18,1,7,4
2020-2021,Maplewood HC,Miles Wood,1.75,16,3,1,9
2022-2023,Minnesota Frozen Pines,Jean-Gabriel Pageau,1.75,16,1,4,11
2024-2025,Cantuar Slough Sharks,Anton Lundell,1.75,12,2,2,5
2025-2026,Pennant Pumpjacks,JJ Peterka,1.75,16,4,1,4
2019-2020,Les Rois De Lyon,Pavel Buchnevich,1.73,15,3,2,5
2020-2021,Cachco Eagles,Rickard Rakell,1.73,11,1,3,4
2025-2026,Woodland Whistle Pigs,Pavel Buchnevich,1.71,21,2,5,7
2019-2020,Rotterdam Red Foxes,Jesperi Kotkaniemi,1.7,10,2,1,3
2024-2025,Rockaway Brattwursts,Trevor Moore,1.7,10,1,3,3
2023-2024,Alberta Cobra Chckens,Matthew Poitras,1.69,16,1,4,10
2020-2021,Pennant Pumpjacks,Scott Laughton,1.65,26,3,4,14
2025-2026,Scotty,Alex Steeves,1.64,11,2,1,4
2024-2025,Driftless Hockey Club,Barrett Hayton,1.59,17,2,2,10
2022-2023,Slick City Jackals,Mason Marchment,1.57,14,1,3,7
2021-2022,Cachco Eagles,Jonathan Toews,1.55,22,0,8,8
2024-2025,Rockaway Brattwursts,Jonathan Marchessault,1.53,17,2,2,9
2025-2026,Maplewood HC,Anders Lee,1.53,19,1,6,6
2023-2024,Slick City Jackals,Dmitry Voronkov,1.52,21,1,5,11
2019-2020,Alberta Cobra Chickens,Lars Eller,1.5,12,1,2,6
2020-2021,Bowness Ice Beavers,Sean Monahan,1.5,10,0,3,6
2023-2024,Maplewood HC,Alex Iafallo,1.5,22,1,3,19
2024-2025,Mt Pearl Vikings,Chris Kreider,1.5,18,3,1,6
2020-2021,Maplewood HC,Dylan Cozens,1.47,15,0,6,4
2023-2024,Pennant Pumpjacks,Reilly Smith,1.45,11,1,2,4
2021-2022,Bowness Ice Beavers,Craig Smith,1.43,14,2,2,4
2024-2025,Pennant Pumpjacks,Max Domi,1.4,10,0,3,5
2021-2022,Alberta Cobra Chickens,Joonas Donskoi,1.36,11,0,4,2
2021-2022,Seminole Road Snakeheads,Morgan Geekie,1.32,19,1,4,6
2020-2021,Potomac Poutine,Matt Duchene,1.31,16,1,4,3
2025-2026,Steel Valley Fishercats,Will Cuylle,1.3,10,1,1,5
