Season,Team,Player,Avg Points,GP,G,A,Blk
2022-2023,Bowness Ice Beavers,Artemi Panarin,5.07,27,12,20,3
2022-2023,Minnesota Frozen Pines,Mats Zuccarello,5.07,43,17,27,31
2020-2021,Les Rois de Lyon,Mark Scheifele,5.06,53,20,38,37
2021-2022,Scotty,Mats Zuccarello,5.05,66,24,51,32
2020-2021,Pennant Pumpjacks,Nathan MacKinnon,5.04,28,9,24,13
2022-2023,Mt Pearl Vikings,Mika Zibanejad,5.04,51,25,27,26
2024-2025,Steel Valley Fishers,Mikko Rantanen,5.04,80,32,55,43
2024-2025,Synth City Sphynx,Jonathan Marchessault,5.04,23,10,16,8
2025-2026,Alberta Cobra Chickens,Nikolaj Ehlers,5.04,23,10,15,7
2021-2022,Synth City,Joe Pavelski,5.03,75,27,51,65
2023-2024,Potomac Poutine,Sebastian Aho,5.03,73,33,50,16
2025-2026,Steel Valley Fishercats,Bryan Rust,5.03,66,29,33,62
2019-2020,Bowness Ice Beavers,Bryan Rust,5.02,49,23,26,31
2020-2021,Cachco Eagles,Alex DeBrincat,5.02,45,27,19,18
2023-2024,Driftless Hockey Club,Gustav Nyquist,5.02,45,16,35,22
2024-2025,Synth City Sphynx,Alex Tuch,5.01,78,34,30,101
2020-2021,Steel Valley Fishers,Alexander Radulov,5,11,4,8,5
2022-2023,Potomac Poutine,Clayton Keller,5,72,34,44,31
2022-2023,Minnesota Frozen Pines,Ryan Hartman,5,13,5,6,14
2024-2025,Slick City Jackals,Will Smith,5,10,5,6,3
2021-2022,Steel Valley Fishers,Brad Marchand,4.97,66,29,44,19
2023-2024,Maplewood HC,Juraj Slafkovsky,4.97,29,11,17,25
2023-2024,Mt Pearl Vikings,Aleksander Barkov,4.97,67,23,47,47
2025-2026,Mt Pearl Vikings,Sidney Crosby,4.97,67,29,45,30
2022-2023,Maplewood HC,Nico Hischier,4.96,73,29,45,55
2022-2023,Scotty,Brayden Point,4.96,54,30,26,22
2024-2025,Slick City Jackals,Nico Hischier,4.96,74,35,32,59
2025-2026,Woodland Whistle Pigs,Connor Bedard,4.96,67,30,43,26
2022-2023,Slick City Jackals,John Tavares,4.95,57,26,32,26
2019-2020,Les Rois De Lyon,Mark Scheifele,4.94,69,28,43,49
2023-2024,Les Rois de Lyon,Dylan Larkin,4.94,63,30,33,32
2024-2025,Potomac Poutine,Lucas Raymond,4.94,52,20,35,26
2025-2026,Rotterdam Red Foxes,Brad Marchand,4.94,51,27,27,16
2020-2021,Steel Valley Fishers,Sebastian Aho,4.93,55,24,33,25
2025-2026,Bowness Ice Beavers,Tim Stutzle,4.92,80,34,49,44
2023-2024,Potomac Poutine,Vincent Trocheck,4.92,61,19,41,63
2023-2024,Alberta Cobra Chckens,Yegor Sharangovich,4.92,24,11,11,19
2023-2024,Maplewood HC,Mark Stone,4.92,40,13,27,28
2024-2025,Scotty,Rickard Rakell,4.92,62,28,29,62
2022-2023,Synth City,Kevin Fiala,4.91,11,4,9,2
2024-2025,Synth City Sphynx,Artemi Panarin,4.91,77,37,51,11
2025-2026,Cantuar Slough Sharks,Alex DeBrincat,4.91,75,38,40,36
2025-2026,Southside Hellbats,Zach Hyman,4.91,46,29,16,17
2021-2022,Minnesota Frozen Pines,Sam Reinhart,4.9,73,29,48,30
2022-2023,Woodland Whistle Pigs,Artturi Lehkonen,4.9,10,3,8,7
2024-2025,Woodland Whistle Pigs,Jesper Bratt,4.9,80,21,67,41
2019-2020,Minnesota Frozen Pines,Kevin Fiala,4.89,18,9,11,5
2021-2022,Mt Pearl Vikings,Mika Zibanejad,4.89,79,29,51,47
2021-2022,Scotty,Patrick Kane,4.89,72,23,61,24
2022-2023,Maplewood HC,Valeri Nichushkin,4.89,44,16,27,34
2025-2026,Mt Pearl Vikings,Kyle Connor,4.89,79,38,51,16
2020-2021,Scotty,Patrice Bergeron,4.88,49,23,22,36
2021-2022,Steel Valley Fishers,Pavel Buchnevich,4.88,59,26,42,8
2022-2023,Slick City Jackals,Timo Meier,4.88,52,30,21,20
2025-2026,Maplewood HC,Tage Thompson,4.88,80,38,41,48
2024-2025,Rotterdam Red Foxes,Sean Monahan,4.87,52,19,35,34
2019-2020,Les Rois De Lyon,Sidney Crosby,4.87,39,15,28,16
2025-2026,Cantuar Slough Sharks,Juraj Slafkovsky,4.87,75,28,42,74
2025-2026,Woodland Whistle Pigs,Steven Stamkos,4.87,45,25,18,16
2023-2024,Driftless Hockey Club,Nazem Kadri,4.86,29,13,18,9
2025-2026,Potomac Poutine,Cole Caufield,4.86,56,32,25,14
2022-2023,Les Rois de Lyon,Pavel Buchnevich,4.85,54,22,36,20
2023-2024,Slick City Jackals,Jesper Bratt,4.85,54,20,38,25
2024-2025,Les Rois de Lyon,Seth Jarvis,4.85,72,32,35,51
2019-2020,Bowness Ice Beavers,J.T. Miller,4.83,65,26,40,36
2025-2026,Bowness Ice Beavers,Brock Nelson,4.83,53,24,23,46
2024-2025,Mt Pearl Vikings,Dylan Guenther,4.82,39,18,19,23
2024-2025,Woodland Whistle Pigs,Matthew Tkachuk,4.81,52,22,35,12
2023-2024,Cantuar Slough Sharks,Valeri Nichushkin,4.8,51,25,25,22
2019-2020,Steel Valley Fishers,Mikko Rantanen,4.79,42,19,22,23
2022-2023,Bowness Ice Beavers,Bo Horvat,4.79,75,37,29,55
2023-2024,Slick City Jackals,Bryan Rust,4.78,54,25,26,45
2019-2020,Cachco Eagles,Kyle Connor,4.78,64,35,31,14
2021-2022,Bowness Ice Beavers,Jason Robertson,4.78,40,19,24,13
2022-2023,Maplewood HC,Andrei Kuzmenko,4.78,40,21,21,10
2021-2022,Slick City Jackals,Jason Robertson,4.77,30,17,12,10
2022-2023,Maplewood HC,Steven Stamkos,4.77,66,27,37,39
2024-2025,Les Rois de Lyon,Tage Thompson,4.77,26,18,6,8
2020-2021,Synth City,Joe Pavelski,4.76,54,24,26,38
2020-2021,Seminole Road Snakeheads,Jonathan Huberdeau,4.76,33,12,24,7
2023-2024,Woodland Whistle Pigs,Matthew Tkachuk,4.76,78,26,59,28
2024-2025,Pennant Pumpjacks,Kyle Connor,4.76,25,11,16,11
2024-2025,Woodland Whistle Pigs,Filip Forsberg,4.76,38,19,17,24
2020-2021,Taku River Glaciers,Ondrej Palat,4.75,32,11,18,27
2021-2022,Steel Valley Fishers,Sebastian Aho,4.75,77,36,43,23
2021-2022,Taku River Glaciers,Roope Hintz,4.75,77,37,33,48
2021-2022,Cachco Eagles,Alex DeBrincat,4.74,77,39,36,34
2021-2022,Seminole Road Snakeheads,Max Pacioretty,4.74,34,17,16,17
2023-2024,Rockaway Brattwursts,Dylan Strome,4.74,46,13,32,39
2024-2025,Scotty,Bryan Rust,4.73,63,28,29,53
2019-2020,Synth City ,Patrice Bergeron,4.73,59,29,23,42
2020-2021,Les Rois de Lyon,Sidney Crosby,4.73,30,12,19,16
2022-2023,Rotterdam Red Foxes,Jared McCann,4.73,60,33,25,24
2025-2026,Steel Valley Fishercats,Alex Tuch,4.73,75,31,30,88
2021-2022,Seminole Road Snakeheads,David Pastrnak,4.72,53,29,25,8
2022-2023,Rotterdam Red Foxes,Jordan Kyrou,4.72,75,37,35,33
2024-2025,Rockaway Brattwursts,Clayton Keller,4.72,68,24,49,25
2022-2023,Alberta Cobra Chickens,William Nylander,4.71,80,38,45,26
2022-2023,Slick City Jackals,Evgeni Malkin,4.71,24,5,21,15
2019-2020,Synth City ,Elias Pettersson,4.7,67,27,38,42
2022-2023,Synth City,Anze Kopitar,4.7,79,27,42,85
2023-2024,Pennant Pumpjacks,Robert Thomas,4.7,79,24,58,44
2019-2020,Bowness Ice Beavers,Aleksander Barkov,4.69,51,16,38,25
2023-2024,Mt Pearl Vikings,Mika Zibanejad,4.69,72,24,44,46
2023-2024,Synth City Sphynx,Jonathan Marchessault,4.69,61,36,23,17
2023-2024,Les Rois de Lyon,Mikael Granlund,4.68,25,5,20,20
2020-2021,Seminole Road Snakeheads,T.J. Oshie,4.67,21,13,5,9
2024-2025,Mt Pearl Vikings,Sidney Crosby,4.67,54,17,40,30
2024-2025,Maplewood HC,Tomas Hertl,4.67,39,16,17,36
2025-2026,Mt Pearl Vikings,Sebastian Aho,4.67,21,6,16,4
2022-2023,Steel Valley Fishers,Jake Guentzel,4.66,76,35,37,46
2024-2025,Woodland Whistle Pigs,John Tavares,4.66,47,21,23,29
2025-2026,Driftless Hockey Club,Evgeni Malkin,4.66,50,16,38,16
2020-2021,Synth City,Alex Ovechkin,4.65,40,21,15,22
2021-2022,Alberta Cobra Chickens,Robert Thomas,4.65,68,20,57,25
2021-2022,Les Rois de Lyon,Mark Scheifele,4.65,49,20,24,35
2022-2023,Alberta Cobra Chickens,Dylan Larkin,4.65,75,31,45,25
2022-2023,Potomac Poutine,Sebastian Aho,4.65,66,34,29,19
2023-2024,Maplewood HC,Shane Pinto,4.65,17,5,11,19
2023-2024,Pennant Pumpjacks,Mathew Barzal,4.65,77,23,56,50
2023-2024,Slick City Jackals,Nick Suzuki,4.65,77,32,42,41
2024-2025,Rockaway Brattwursts,Sebastian Aho,4.65,49,17,34,19
2024-2025,Cantuar Slough Sharks,Nikolaj Ehlers,4.64,45,16,30,20
2024-2025,Steel Valley Fishers,Pius Suter,4.64,11,6,4,6
2025-2026,Scotty,Seth Jarvis,4.64,66,29,34,24
2025-2026,Scotty,Matthew Tkachuk,4.64,25,10,15,6
2024-2025,Woodland Whistle Pigs,Wyatt Johnston,4.63,75,32,36,43
2019-2020,Taku River Glaciers,Mark Stone,4.63,65,21,42,51
2019-2020,Seminole Road Snakeheads,Jonathan Huberdeau,4.63,62,20,46,23
2022-2023,Synth City,Sam Reinhart,4.62,66,28,31,43
2022-2023,Mt Pearl Vikings,Artemi Panarin,4.61,49,15,40,8
2025-2026,Bowness Ice Beavers,Artemi Panarin,4.61,23,9,17,4
2019-2020,Rotterdam Red Foxes,Vladimir Tarasenko,4.6,10,3,7,7
2020-2021,Bowness Ice Beavers,Ryan O'Reilly,4.6,52,23,27,22
2020-2021,Rotterdam Red Foxes,Vincent Trocheck,4.6,45,17,26,26
2022-2023,Minnesota Frozen Pines,Jamie Benn,4.6,68,29,35,35
2024-2025,Alberta Cobra Chickens,Dylan Strome,4.6,77,25,50,49
2025-2026,Synth City Sphynx,Artemi Panarin,4.6,48,18,35,10
2023-2024,Steel Valley Fishers,Zach Hyman,4.59,27,19,4,8
2020-2021,Minnesota Frozen Pines,Jake Guentzel,4.58,31,13,16,18
2024-2025,Les Rois de Lyon,Ryan Donato,4.58,19,10,8,7
2025-2026,Rotterdam Red Foxes,Mitch Marner,4.58,78,23,56,45
2019-2020,Steel Valley Fishers,Sebastian Aho,4.57,67,36,27,19
2019-2020,Synth City ,Kailer Yamamoto,4.57,14,6,8,9
2021-2022,Scotty,Evgeni Malkin,4.57,30,12,17,11
2025-2026,Rockaway Brattwursts,Clayton Keller,4.57,76,23,58,29
